52a1eab7-ef32-47c1-a9e0-8090d2cdce4a,20,1995
52a1eab7-ef32-47c1-a9e0-8090d2cdce4a,8,1976
52a1eab7-ef32-47c1-a9e0-8090d2cdce4a,17,1985
e8501bed-405a-458a-9e8d-0629ed01520f,9,1996
e8501bed-405a-458a-9e8d-0629ed01520f,14,2019
e8501bed-405a-458a-9e8d-0629ed01520f,17,1984
60ad02e5-4559-4bf3-9db8-fe30e1567062,11,1983
60ad02e5-4559-4bf3-9db8-fe30e1567062,16,1984
60ad02e5-4559-4bf3-9db8-fe30e1567062,18,1975
8e8679d7-c1bc-46d4-977d-affa134eb265,18,2020
8e8679d7-c1bc-46d4-977d-affa134eb265,10,1987
8e8679d7-c1bc-46d4-977d-affa134eb265,14,2011
0672c991-deed-446c-89d2-45feecb2b760,15,2018
0672c991-deed-446c-89d2-45feecb2b760,1,1972
0672c991-deed-446c-89d2-45feecb2b760,1,1991
855c48a3-b96e-4ea7-aa3e-30ab9ea0d5c1,19,1993
855c48a3-b96e-4ea7-aa3e-30ab9ea0d5c1,7,2006
855c48a3-b96e-4ea7-aa3e-30ab9ea0d5c1,13,2000
0e0a16ff-d2a8-4d0e-8b1f-2028e6b89bd0,5,2006
0e0a16ff-d2a8-4d0e-8b1f-2028e6b89bd0,9,2014
0e0a16ff-d2a8-4d0e-8b1f-2028e6b89bd0,18,2012
c5a095b6-8f94-4f7a-812a-8cfe0e6f376a,7,1977
c5a095b6-8f94-4f7a-812a-8cfe0e6f376a,6,1986
c5a095b6-8f94-4f7a-812a-8cfe0e6f376a,2,2007
922c445f-27a3-4b93-b03b-b55747c0be6d,15,1976
922c445f-27a3-4b93-b03b-b55747c0be6d,7,2009
922c445f-27a3-4b93-b03b-b55747c0be6d,14,1976
d62f7fb0-f03c-4b78-b6bd-c08aa35625d3,19,1998
d62f7fb0-f03c-4b78-b6bd-c08aa35625d3,10,2002
d62f7fb0-f03c-4b78-b6bd-c08aa35625d3,13,1988
711c02f8-0548-4c9a-8e0f-f426dbc24eb9,9,1993
711c02f8-0548-4c9a-8e0f-f426dbc24eb9,19,1992
711c02f8-0548-4c9a-8e0f-f426dbc24eb9,16,1978
c15e11b5-6cdb-40cc-8ac7-dee88437a6d9,15,1984
c15e11b5-6cdb-40cc-8ac7-dee88437a6d9,15,1978
c15e11b5-6cdb-40cc-8ac7-dee88437a6d9,13,2010
ccd93c02-114c-4353-9499-c1500d8d416f,10,2003
ccd93c02-114c-4353-9499-c1500d8d416f,6,1994
ccd93c02-114c-4353-9499-c1500d8d416f,9,1976
f755d715-1b49-481b-918a-86864dc632e8,18,1979
f755d715-1b49-481b-918a-86864dc632e8,16,1998
f755d715-1b49-481b-918a-86864dc632e8,20,2012
47cd8a28-d8c8-47fd-8b62-8a61e504090c,1,1973
47cd8a28-d8c8-47fd-8b62-8a61e504090c,2,2001
47cd8a28-d8c8-47fd-8b62-8a61e504090c,20,1986
64c8b296-3331-4c3f-8293-baa59651107c,8,1988
64c8b296-3331-4c3f-8293-baa59651107c,8,2020
64c8b296-3331-4c3f-8293-baa59651107c,15,2001
0ab296c6-15cb-4bef-8fd6-ef3a03ad1518,14,2004
0ab296c6-15cb-4bef-8fd6-ef3a03ad1518,7,2020
0ab296c6-15cb-4bef-8fd6-ef3a03ad1518,20,2012
d1999932-4330-48bd-a28c-dd208b6fccf1,17,2001
d1999932-4330-48bd-a28c-dd208b6fccf1,6,1984
d1999932-4330-48bd-a28c-dd208b6fccf1,18,2005
58c3714e-6818-46e9-8817-16be4ee8267e,4,2013
58c3714e-6818-46e9-8817-16be4ee8267e,11,1989
58c3714e-6818-46e9-8817-16be4ee8267e,8,1972
4b15f8fa-2db7-44f5-b74f-86b878549ae3,14,1971
